Município;1991;2000;2010;Total
171395 MURICILANDIA;...;42,99;10,38;27,06
171420 NATIVIDADE;3,86;11,95;9,75;8,67
171430 NAZARE;2,94;7,71;9,62;6,43
171488 NOVA OLINDA;0,81;22,28;5,27;10,13
171500 NOVA ROSALANDIA;2,5;17,36;4,07;7,77
171510 NOVO ACORDO;4,09;20,87;5,97;9,44
171515 NOVO ALEGRE;...;23,56;12,97;17,94
171525 NOVO JARDIM;...;8,82;9,56;9,23
171550 OLIVEIRA DE FATIMA;...;15;4,05;9,31
171570 PALMEIRANTE;...;2,57;5,95;4,93
171575 PALMEIROPOLIS;10,85;10,93;9,47;10,42
171610 PARAISO DO TOCANTINS;2,04;13,03;6,76;7,83
171620 PARANA;0,14;4,95;18,16;8,08
171630 PAU D'ARCO;...;19,77;6,83;11,26
171650 PEDRO AFONSO;2,12;15,39;6,11;7,46
171660 PEIXE;0,59;10,32;5,72;5,24
171665 PEQUIZEIRO;2,46;14,92;4,62;7,66
171670 COLMEIA;4,4;6,2;5,74;5,54
171700 PINDORAMA DO TOCANTINS;2,84;11,48;8,01;7,32
171720 PIRAQUE;...;19,09;6,9;12,46
171750 PIUM;1,83;10,54;6,34;5,97
171780 PONTE ALTA DO BOM JESUS;1,56;6,68;12,37;6,08
171790 PONTE ALTA DO TOCANTINS;4,67;23,53;4,01;10,5
171800 PORTO ALEGRE DO TOCANTINS;6,3;16,57;10,5;11,14
171820 PORTO NACIONAL;2,11;15,49;6,74;8,36
171830 PRAIA NORTE;4,35;3,77;8,2;5,66
171840 PRESIDENTE KENNEDY;1,53;6,86;9,8;5,63
171845 PUGMIL;...;5,89;12,92;9,96
171850 RECURSOLANDIA;...;10,28;3,45;6,28
171855 RIACHINHO;...;3,59;12,1;7,28
171865 RIO DA CONCEICAO;...;13,92;17,62;16,05
171870 RIO DOS BOIS;...;12,13;3,75;7,08
171875 RIO SONO;3,06;5,75;3,99;4,38
171880 SAMPAIO;1,49;10,56;9,28;7
171884 SANDOLANDIA;...;20,52;7,56;13,63
171886 SANTA FE DO ARAGUAIA;...;14,72;8,8;11,11
171888 SANTA MARIA DO TOCANTINS;...;11,64;2,61;6,71
171889 SANTA RITA DO TOCANTINS;...;10,84;3,25;6,94
171890 SANTA ROSA DO TOCANTINS;0,28;10,21;7,35;6,35
171900 SANTA TEREZA DO TOCANTINS;1,1;9,63;3,11;4,42
172000 SANTA TEREZINHA DO TOCANTINS;...;4,12;10,77;7,76
172010 SAO BENTO DO TOCANTINS;...;0,45;7,64;5,19
172015 SAO FELIX DO TOCANTINS;...;42,65;0,34;20,8
172020 SAO MIGUEL DO TOCANTINS;...;9,72;6,33;7,74
172025 SAO SALVADOR DO TOCANTINS;...;5,16;7,58;6,24
172030 SAO SEBASTIAO DO TOCANTINS;1,87;4,28;23,75;9,78
172049 SAO VALERIO;6,46;7,32;5,64;6,53
172065 SILVANOPOLIS;4,4;7,59;7,22;6,51
172080 SITIO NOVO DO TOCANTINS;3,3;9,82;10,9;8,65
172085 SUCUPIRA;...;18,32;5,42;11,09
172090 TAGUATINGA;3,3;14,73;9,29;9,56
172093 TAIPAS DO TOCANTINS;...;7,77;18;13,7
172097 TALISMA;...;15,22;4,22;8,35
172100 PALMAS;6,88;15,29;6,34;9,38
172110 TOCANTINIA;19,12;14,39;7,78;13,96
172120 TOCANTINOPOLIS;3,41;15,46;10,24;9,62
172125 TUPIRAMA;...;2,23;7,9;5,18
172130 TUPIRATINS;...;8,69;5,73;6,6
172208 WANDERLANDIA;4,29;10,22;5,68;7,11
172210 XAMBIOA;7,82;9,07;11,95;9,75
210005 ACAILANDIA;4,94;9,61;10,96;9,04
210010 AFONSO CUNHA;-;2,87;12,99;4,45
210015 AGUA DOCE DO MARANHAO;...;6,14;7,2;6,71
210020 ALCANTARA;2,82;8,37;7,28;6,45
210030 ALDEIAS ALTAS;1,46;10,88;10,58;7,88
210040 ALTAMIRA DO MARANHAO;1,73;6,77;6,18;4,06
210043 ALTO ALEGRE DO MARANHAO;...;18,84;11,51;14,94
210047 ALTO ALEGRE DO PINDARE;...;8,02;9,51;8,69
210050 ALTO PARNAIBA;6,07;16,51;13,4;12,29
210055 AMAPA DO MARANHAO;...;7,2;9,4;8,39
210060 AMARANTE DO MARANHAO;6,14;6,22;5,42;5,83
210070 ANAJATUBA;6,85;1,26;8,7;5,7
210080 ANAPURUS;1,65;4,44;7,66;4,94
210083 APICUM-ACU;...;4,5;3,07;3,59
210087 ARAGUANA;...;3,62;5,5;4,71
210090 ARAIOSES;2,69;6,71;7,33;5,54
210095 ARAME;3,13;5,57;7,71;5,53
210100 ARARI;6,41;10,89;6,88;8,26
210110 AXIXA;2,14;9,48;5,91;6,2
210120 BACABAL;3,82;14,26;8,25;8,86
210125 BACABEIRA;...;12,41;10,02;10,85
210130 BACURI;0,4;5,22;7,31;4,13
210135 BACURITUBA;...;4,23;7,5;5,62
210140 BALSAS;4,04;12,42;6,88;8,12
210150 BARAO DE GRAJAU;4,77;6,31;7,34;6,36
210160 BARRA DO CORDA;2,42;9,55;7,42;6,51
210170 BARREIRINHAS;2,15;4,04;6,41;4,73
210173 BELAGUA;...;0,16;4,56;2,19
210177 BELA VISTA DO MARANHAO;...;6,95;8,42;7,86
210180 BENEDITO LEITE;3,53;19,42;12,77;10,38
210190 BEQUIMAO;6,32;3,97;6,22;5,45
210193 BERNARDO DO MEARIM;...;2,28;3,77;3,03
210197 BOA VISTA DO GURUPI;...;20,79;6,98;12,51
